Municipio,An~o,Poblacion
Cayey,1960,38061
Cayey,1970,38432
Cayey,1980,41099
Cayey,1990,46553
Cayey,2000,47370
Cayey,2010,48119
Ceiba,1899,--
Ceiba,1910,--
Ceiba,1920,5973
Ceiba,1930,7275
Ceiba,1935,7808
Ceiba,1940,7021
Ceiba,1950,9199
Ceiba,1960,9075
Ceiba,1970,10312
Ceiba,1980,14944
Ceiba,1990,17145
Ceiba,2000,18004
Ceiba,2010,13631
Ciales,1899,18115
Ciales,1910,18398
Ciales,1920,20730
Ciales,1930,20492
Ciales,1935,23312
Ciales,1940,22906
Ciales,1950,19464
Ciales,1960,18106
Ciales,1970,15595
Ciales,1980,16211
Ciales,1990,18084
Ciales,2000,19811
Ciales,2010,18782
Cidra,1899,7552
Cidra,1910,10595
Cidra,1920,14789
Cidra,1930,19662
Cidra,1935,20537
Cidra,1940,20392
Cidra,1950,20491
Cidra,1960,21891
Cidra,1970,23892
Cidra,1980,28365
Cidra,1990,35601
Cidra,2000,42753
Cidra,2010,43480
Coamo,1899,15144
Coamo,1910,17129
Coamo,1920,17749
Coamo,1930,18125
Coamo,1935,21423
Coamo,1940,22772
Coamo,1950,26485
Coamo,1960,26082
Coamo,1970,26468
Coamo,1980,30822
Coamo,1990,33837
Coamo,2000,37597
Coamo,2010,40512
Comerío,1899,8249
Comerío,1910,11170
Comerío,1920,14708
Comerío,1930,16715
Comerío,1935,17405
Comerío,1940,18539
Comerío,1950,17966
Comerío,1960,18583
Comerío,1970,18819
Comerío,1980,18212
Comerío,1990,20265
Comerío,2000,20002
Comerío,2010,20778
Corozal,1899,11508
Corozal,1910,12978
Corozal,1920,14369
Corozal,1930,16454
Corozal,1935,18869
Corozal,1940,20458
Corozal,1950,23087
Corozal,1960,23570
Corozal,1970,24545
Corozal,1980,28221
Corozal,1990,33095
Corozal,2000,36867
Corozal,2010,37142
Culebra,1899,--
Culebra,1910,1315
Culebra,1920,839
Culebra,1930,847
Culebra,1935,924
Culebra,1940,860
Culebra,1950,887
Culebra,1960,573
Culebra,1970,732
Culebra,1980,1265
Culebra,1990,1542
Culebra,2000,1868
Culebra,2010,1818
Dorado,1899,3804
Dorado,1910,4885
Dorado,1920,5842
Dorado,1930,7579
Dorado,1935,8663
Dorado,1940,9481
Dorado,1950,11749
Dorado,1960,13460
Dorado,1970,17388
Dorado,1980,25511
Dorado,1990,30759
Dorado,2000,34017
Dorado,2010,38165
Fajardo,1899,16782
Fajardo,1910,21135
Fajardo,1920,14302
Fajardo,1930,16321
Fajardo,1935,18346
Fajardo,1940,20405
Fajardo,1950,22116
Fajardo,1960,18321
Fajardo,1970,23032
Fajardo,1980,32087
Fajardo,1990,36882
Fajardo,2000,40712
Fajardo,2010,36993
Florida,1899,--
Florida,1910,--
Florida,1920,--
Florida,1930,--
Florida,1935,--
Florida,1940,--
Florida,1950,--
Florida,1960,--
Florida,1970,--
Florida,1980,7232
Florida,1990,8689
Florida,2000,12367
Florida,2010,12680
Guánica,1899,--
Guánica,1910,--
Guánica,1920,9948
Guánica,1930,10238
Guánica,1935,11606
Guánica,1940,12685
Guánica,1950,15630
Guánica,1960,13767
Guánica,1970,14889
Guánica,1980,18799
Guánica,1990,19984
Guánica,2000,21888
Guánica,2010,19427
Guayama,1899,12749
Guayama,1910,17379
Guayama,1920,19192
Guayama,1930,23624
Guayama,1935,27563
Guayama,1940,30511
Guayama,1950,32807
Guayama,1960,33678
Guayama,1970,36249
Guayama,1980,40183
Guayama,1990,41588
Guayama,2000,44301
Guayama,2010,45362
Guayanilla,1899,9540
Guayanilla,1910,10354
Guayanilla,1920,12083
Guayanilla,1930,13121
Guayanilla,1935,14860
Guayanilla,1940,15577
Guayanilla,1950,17402
Guayanilla,1960,17396
Guayanilla,1970,18144
Guayanilla,1980,21050
Guayanilla,1990,21581
Guayanilla,2000,23072
Guayanilla,2010,21581
Guaynabo,1899,--
Guaynabo,1910,--
Guaynabo,1920,10800
Guaynabo,1930,13502
Guaynabo,1935,15218
Guaynabo,1940,18319
Guaynabo,1950,29120
Guaynabo,1960,39718
Guaynabo,1970,67042
Guaynabo,1980,80742
Guaynabo,1990,92886
Guaynabo,2000,100053
Guaynabo,2010,97924
Gurabo,1899,8700
Gurabo,1910,11139
Gurabo,1920,12882
Gurabo,1930,15095
Gurabo,1935,15617
Gurabo,1940,15870
Gurabo,1950,16395
Gurabo,1960,16603
Gurabo,1970,18289
Gurabo,1980,23574
Gurabo,1990,28737
Gurabo,2000,36743
Gurabo,2010,45369
Hatillo,1899,10449
Hatillo,1910,10630
Hatillo,1920,13979
Hatillo,1930,16168
Hatillo,1935,17296
Hatillo,1940,18322
Hatillo,1950,20877
Hatillo,1960,20238
Hatillo,1970,21913
Hatillo,1980,28958
